anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation
26,32,34.22222222,1,"[35, 34, 37, 32, 33, 34, 32, 33, 36, 38, 32, 35, 38, 34, 30, 36, 36, 34, 31, 37, 32, 33, 34, 36, 38, 29, 31, 32, 35, 37, 31, 40, 35, 31, 37, 34]",36,1,2.608898083
30,35,36.13888889,1,"[35, 37, 37, 37, 36, 36, 35, 42, 35, 35, 32, 36, 34, 38, 36, 33, 38, 35, 36, 35, 38, 37, 33, 35, 33, 35, 35, 37, 37, 37, 36, 38, 36, 38, 40, 38]",36,2,1.98785998
30,35,35.97142857,1,"[33, 33, 35, 34, 39, 38, 36, 36, 36, 38, 38, 39, 36, 34, 35, 34, 34, 36, 36, 37, 38, 38, 35, 41, 35, 35, 35, 37, 33, 35, 35, 35, 34, 40, 36]",35,3,2.007130147
25,30,31.36363636,1,"[37, 30, 27, 28, 32, 35, 30, 30, 34, 26, 34, 31, 40, 31, 28, 34, 30, 26, 26, 37, 33, 30, 27, 32, 26, 32, 32, 31, 34, 32, 30, 35, 35]",33,4,3.525072533
28,33,33.60714286,1,"[39, 30, 33, 33, 30, 39, 33, 34, 32, 35, 33, 34, 36, 39, 35, 33, 30, 36, 33, 33, 35, 33, 33, 34, 30, 30, 36, 30]",28,5,2.68520343
28,30,33.16666667,1,"[33, 33, 33, 37, 32, 34, 34, 35, 31, 30, 33, 35, 30, 30, 35, 30, 32, 30, 30, 38, 36, 40, 35, 30, 33, 30, 37, 32, 34, 33]",30,6,2.704827528
26,32,33.61764706,1,"[34, 34, 33, 33, 32, 32, 35, 32, 35, 31, 28, 35, 34, 35, 31, 38, 31, 35, 34, 31, 34, 32, 30, 35, 36, 35, 37, 37, 34, 37, 37, 36, 32, 28]",34,7,2.510761153
27,31,32.8,1,"[31, 29, 29, 30, 32, 31, 29, 35, 38, 32, 29, 35, 35, 29, 32, 32, 34, 35, 32, 29, 30, 35, 33, 37, 33, 34, 39, 33, 29, 32, 33, 32, 33, 39, 38]",35,8,2.988212135
28,34,35.19444444,1,"[37, 33, 37, 36, 30, 33, 36, 33, 34, 34, 31, 36, 35, 36, 38, 35, 32, 36, 32, 36, 34, 36, 38, 36, 35, 42, 36, 40, 31, 37, 34, 33, 36, 37, 37, 35]",36,9,2.482158559
25,30,30.96969697,1,"[33, 33, 34, 29, 30, 37, 27, 31, 33, 30, 28, 30, 28, 30, 30, 30, 29, 30, 30, 31, 34, 35, 32, 32, 31, 27, 32, 31, 30, 30, 33, 30, 32]",33,10,2.228856889
