anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation
32,35,36.52777778,1,"[36, 35, 39, 34, 37, 34, 37, 36, 37, 36, 36, 39, 36, 37, 34, 37, 36, 34, 37, 35, 40, 40, 38, 37, 42, 36, 34, 37, 38, 36, 38, 34, 35, 37, 36, 35]",36,1,1.889612373
35,38,38.63888889,1,"[39, 41, 39, 38, 38, 37, 37, 39, 40, 42, 38, 40, 39, 38, 38, 38, 39, 39, 38, 37, 37, 40, 39, 39, 38, 37, 37, 40, 42, 38, 37, 37, 39, 40, 39, 38]",36,2,1.355470984
35,37,38.68571429,1,"[40, 39, 38, 37, 42, 40, 37, 40, 37, 37, 37, 37, 39, 38, 38, 37, 38, 37, 39, 37, 40, 43, 39, 37, 40, 37, 38, 41, 39, 39, 39, 39, 39, 41, 39]",35,3,1.567527626
30,32,34.33333333,1,"[33, 34, 37, 38, 33, 35, 37, 35, 32, 32, 37, 32, 33, 35, 32, 38, 32, 33, 37, 38, 32, 36, 34, 33, 32, 34, 33, 35, 32, 32, 37, 35, 35]",33,4,2.101586702
33,35,36.35294118,1,"[36, 37, 35, 37, 36, 35, 36, 35, 36, 35, 35, 35, 35, 38, 35, 38, 36, 37, 36, 36, 38, 36, 35, 37, 38, 35, 38, 39, 39, 37, 37, 37, 35, 36]",34,5,1.252448582
30,33,35.48571429,1,"[37, 32, 32, 36, 37, 36, 42, 36, 34, 36, 36, 33, 36, 36, 40, 36, 38, 34, 32, 35, 33, 37, 33, 35, 41, 35, 35, 35, 33, 32, 37, 36, 33, 33, 40]",35,6,2.559543026
32,36,36.91176471,1,"[35, 37, 36, 37, 34, 34, 38, 39, 36, 37, 36, 35, 37, 38, 36, 36, 34, 37, 38, 36, 35, 34, 39, 36, 39, 37, 39, 38, 38, 41, 40, 37, 39, 37]",34,7,1.781515308
31,33,35.5,1,"[36, 37, 38, 36, 35, 36, 34, 33, 38, 33, 37, 32, 33, 35, 35, 32, 37, 40, 32, 34, 38, 33, 33, 33, 34, 43, 32, 37, 41, 37, 35, 36, 36, 35, 35, 37]",36,8,2.591193878
34,37,38.41666667,1,"[38, 38, 42, 42, 40, 38, 37, 38, 39, 37, 38, 39, 38, 40, 37, 36, 39, 37, 39, 41, 37, 40, 38, 40, 37, 38, 39, 36, 41, 37, 36, 37, 39, 40, 36, 39]",36,9,1.645339739
30,33,34.37142857,1,"[36, 34, 37, 37, 36, 32, 34, 35, 34, 35, 33, 35, 32, 36, 34, 33, 36, 34, 34, 35, 34, 33, 33, 33, 34, 32, 32, 38, 33, 34, 33, 36, 36, 35, 35]",35,10,1.554608222
32,34,35.7027027,1,"[34, 34, 35, 37, 35, 36, 35, 34, 40, 39, 37, 38, 34, 39, 34, 36, 34, 35, 34, 34, 34, 34, 35, 35, 36, 38, 34, 34, 39, 39, 40, 34, 34, 34, 34, 37, 36]",37,11,2.011976155
34,37,37.61290323,1,"[38, 39, 38, 37, 38, 37, 36, 40, 38, 37, 39, 37, 39, 38, 36, 38, 40, 38, 37, 37, 38, 36, 36, 38, 37, 38, 36, 38, 39, 36, 37]",31,12,1.145350583
37,40,40.94285714,1,"[42, 39, 40, 43, 40, 39, 39, 40, 42, 45, 42, 39, 40, 41, 44, 40, 42, 41, 41, 39, 42, 40, 41, 42, 41, 42, 39, 42, 39, 42, 39, 42, 42, 39, 43]",35,13,1.589355347
35,38,38.60606061,1,"[39, 38, 40, 39, 39, 38, 38, 37, 37, 39, 39, 39, 38, 40, 38, 37, 37, 40, 40, 38, 37, 38, 38, 39, 40, 38, 38, 40, 41, 38, 40, 39, 38]",33,14,1.08798535
36,38,40.72413793,1,"[44, 38, 41, 38, 42, 43, 45, 42, 38, 42, 42, 40, 40, 41, 38, 43, 38, 40, 41, 42, 38, 38, 44, 38, 42, 46, 41, 38, 38]",29,15,2.418626407
36,39,40.77777778,1,"[42, 41, 38, 39, 43, 41, 41, 39, 42, 39, 41, 44, 41, 38, 42, 42, 42, 41, 38, 42, 43, 42, 41, 41, 43, 41, 40, 38, 41, 38, 43, 42, 38, 42, 40, 39]",36,16,1.725623881
33,36,37.37142857,1,"[39, 38, 36, 37, 36, 36, 35, 35, 40, 41, 42, 38, 38, 38, 38, 38, 36, 38, 37, 36, 37, 38, 39, 38, 37, 35, 35, 37, 38, 36, 38, 36, 38, 36, 38]",35,17,1.6285272
33,36,37.37142857,1,"[39, 36, 36, 35, 42, 40, 35, 35, 36, 35, 38, 37, 38, 38, 37, 38, 36, 36, 41, 37, 39, 43, 38, 35, 38, 36, 36, 38, 38, 38, 38, 38, 38, 35, 35]",35,18,2.001260107
31,35,36.02941176,0,"[35, 35, 33, 35, 34, 35, 40, 35, 35, 34, 42, 33, 36, 36, 35, 40, 37, 36, 36, 41, 42, 33, 36, 35, 37, 37, 36, 34, 36, 36, 33, 37, 37, 33]",34,19,2.455486055
32,35,37.28571429,1,"[37, 37, 34, 40, 38, 36, 34, 44, 38, 35, 34, 37, 37, 40, 39, 34, 37, 37, 41, 37, 35, 41, 34, 35, 37, 37, 34, 43, 42, 36, 40, 39, 35, 34, 37]",35,20,2.750095491
30,35,37.65714286,1,"[42, 38, 32, 34, 35, 39, 42, 34, 32, 40, 36, 34, 40, 41, 38, 36, 43, 36, 33, 38, 34, 37, 38, 40, 43, 35, 41, 37, 35, 34, 41, 41, 38, 39, 42]",35,21,3.262468004
29,32,35.05714286,1,"[31, 33, 36, 35, 35, 32, 32, 43, 32, 36, 31, 32, 33, 35, 37, 32, 31, 36, 32, 34, 32, 32, 38, 36, 38, 39, 35, 44, 35, 36, 39, 37, 37, 33, 38]",35,22,3.226205722
29,33,34.25,0,"[35, 33, 34, 34, 33, 35, 34, 34, 40, 35, 34, 32, 32, 34, 34, 33, 32, 36, 32, 32, 35, 34, 33, 34, 31, 37, 36, 34, 39, 35, 35, 37, 37, 33, 32, 33]",36,23,1.991051409
31,34,36.02777778,1,"[41, 35, 39, 38, 34, 36, 35, 38, 37, 34, 36, 36, 35, 37, 37, 34, 38, 34, 36, 42, 34, 35, 35, 35, 35, 34, 33, 33, 41, 34, 34, 39, 33, 38, 35, 37]",36,24,2.335882961
28,32,33.34285714,1,"[34, 36, 32, 34, 37, 30, 32, 37, 37, 33, 30, 34, 33, 39, 33, 31, 35, 30, 33, 37, 33, 33, 35, 33, 31, 30, 30, 36, 31, 30, 33, 32, 35, 36, 32]",35,25,2.472708174
25,26,29.86842105,1,"[26, 32, 26, 33, 30, 26, 37, 27, 34, 29, 30, 34, 28, 26, 26, 37, 32, 27, 31, 26, 30, 26, 28, 38, 34, 31, 32, 32, 30, 33, 30, 27, 26, 26, 26, 27, 31, 31]",38,26,3.496492858
31,33,35.11764706,1,"[35, 35, 33, 36, 35, 36, 36, 33, 38, 35, 36, 35, 36, 38, 36, 35, 33, 33, 36, 34, 33, 34, 33, 36, 33, 37, 33, 40, 33, 35, 38, 35, 36, 34]",34,27,1.771229771
33,35,36.22857143,1,"[40, 37, 34, 37, 35, 38, 35, 36, 38, 39, 38, 37, 34, 36, 37, 38, 35, 36, 35, 35, 38, 34, 36, 34, 37, 38, 36, 37, 35, 34, 35, 37, 37, 35, 35]",35,28,1.573413567
32,36,37.55882353,1,"[36, 40, 40, 41, 38, 35, 40, 35, 37, 39, 37, 34, 36, 35, 39, 40, 37, 38, 38, 38, 37, 37, 36, 37, 37, 36, 37, 37, 39, 38, 40, 37, 36, 40]",34,29,1.76139023
34,36,37.96551724,1,"[38, 38, 36, 36, 39, 40, 43, 38, 36, 38, 39, 36, 37, 39, 38, 39, 39, 36, 38, 42, 36, 36, 39, 36, 39, 36, 37, 40, 37]",29,30,1.841636668
33,36,36.86111111,0,"[36, 35, 39, 35, 36, 35, 37, 36, 38, 37, 36, 37, 38, 36, 37, 37, 38, 35, 35, 36, 38, 38, 38, 35, 41, 38, 35, 37, 36, 36, 41, 41, 36, 35, 37, 36]",36,31,1.692888956
33,36,37.48571429,1,"[38, 39, 37, 36, 38, 35, 35, 37, 39, 38, 42, 36, 37, 39, 37, 36, 39, 39, 37, 38, 36, 41, 37, 38, 37, 35, 35, 40, 37, 38, 35, 35, 41, 38, 37]",35,32,1.820979513
31,33,35.02941176,1,"[37, 33, 37, 35, 40, 33, 33, 35, 33, 33, 36, 36, 34, 35, 33, 33, 35, 35, 35, 35, 38, 35, 33, 36, 33, 40, 36, 35, 34, 36, 38, 35, 33, 33]",34,33,1.961528379
29,32,33.82352941,1,"[34, 35, 32, 36, 35, 34, 36, 34, 35, 32, 33, 33, 34, 32, 31, 34, 32, 33, 32, 35, 38, 31, 36, 32, 33, 32, 32, 32, 35, 35, 33, 35, 39, 35]",34,34,1.898493633
26,30,31.11764706,1,"[32, 34, 28, 31, 32, 31, 31, 32, 31, 30, 28, 30, 33, 31, 34, 28, 31, 31, 31, 31, 28, 34, 32, 32, 31, 30, 36, 29, 32, 32, 30, 32, 28, 32]",34,35,1.887192975
25,27,29.37142857,1,"[32, 27, 27, 29, 27, 28, 32, 29, 28, 30, 29, 27, 29, 30, 30, 31, 32, 28, 27, 27, 27, 31, 30, 33, 34, 29, 33, 31, 29, 27, 29, 27, 27, 27, 35]",35,36,2.289178048
22,27,29.11428571,1,"[30, 28, 32, 27, 27, 26, 28, 33, 33, 28, 31, 24, 24, 28, 25, 28, 33, 30, 33, 31, 30, 24, 33, 31, 28, 34, 27, 34, 25, 26, 32, 31, 27, 32, 26]",35,37,3.122700835
28,31,33.08333333,1,"[36, 31, 33, 34, 33, 32, 32, 34, 30, 34, 33, 30, 32, 33, 30, 31, 30, 33, 31, 31, 33, 33, 33, 34, 32, 38, 32, 37, 39, 33, 33, 35, 37, 38, 30, 31]",36,38,2.418677324
24,27,28.77777778,1,"[34, 28, 28, 28, 31, 27, 29, 29, 30, 27, 28, 27, 26, 30, 29, 29, 30, 28, 27, 34, 29, 28, 31, 30, 27, 29, 26, 26, 32, 27, 26, 29, 26, 28, 30, 33]",36,39,2.152886582
27,30,31.77142857,1,"[35, 32, 35, 32, 32, 31, 29, 32, 35, 32, 33, 30, 29, 35, 32, 30, 33, 32, 32, 32, 32, 32, 32, 32, 31, 29, 29, 36, 30, 30, 35, 32, 31, 29, 29]",35,40,1.986509121
21,26,28.26315789,1,"[28, 26, 23, 29, 29, 27, 28, 28, 34, 29, 36, 27, 24, 34, 30, 32, 31, 28, 26, 23, 26, 23, 29, 32, 32, 29, 24, 26, 28, 37, 29, 23, 26, 23, 23, 36, 29, 27]",38,41,3.860291338
28,31,32.58823529,1,"[36, 36, 33, 32, 32, 33, 31, 30, 35, 34, 33, 30, 34, 30, 34, 33, 30, 31, 32, 31, 30, 31, 33, 34, 33, 30, 32, 33, 30, 34, 34, 36, 38, 30]",34,42,2.11942884
32,35,36.08571429,1,"[36, 37, 34, 38, 35, 36, 37, 35, 36, 38, 38, 36, 34, 35, 35, 37, 36, 37, 36, 37, 39, 34, 37, 34, 36, 40, 37, 34, 34, 36, 35, 37, 37, 36, 34]",35,43,1.521829947
33,36,37.08823529,0,"[36, 38, 35, 38, 36, 38, 42, 36, 37, 41, 36, 35, 37, 38, 36, 38, 35, 38, 36, 36, 36, 36, 38, 35, 37, 38, 35, 38, 37, 36, 41, 38, 35, 39]",34,44,1.781515308
34,38,38.82142857,1,"[39, 36, 38, 37, 40, 39, 40, 37, 38, 40, 38, 36, 39, 39, 38, 38, 39, 39, 42, 38, 36, 41, 42, 41, 40, 39, 39, 39]",28,45,1.611384761
34,37,38.19444444,1,"[40, 38, 39, 38, 39, 36, 36, 37, 39, 39, 37, 40, 38, 39, 39, 37, 38, 37, 36, 40, 39, 40, 39, 36, 41, 38, 37, 37, 39, 38, 38, 36, 39, 40, 38, 38]",36,46,1.348426479
33,36,37.08333333,1,"[38, 39, 36, 37, 35, 37, 35, 35, 38, 40, 38, 38, 35, 38, 35, 36, 38, 39, 37, 35, 38, 40, 39, 37, 37, 37, 36, 37, 39, 37, 37, 35, 35, 38, 37, 37]",36,47,1.480829883
27,29,31.44117647,1,"[39, 28, 33, 31, 36, 31, 29, 31, 28, 32, 28, 32, 28, 31, 31, 29, 34, 31, 28, 31, 38, 35, 28, 34, 28, 32, 28, 29, 29, 31, 32, 37, 34, 33]",34,48,3.066842977
27,31,33.20588235,1,"[31, 34, 31, 33, 35, 32, 38, 31, 31, 31, 39, 31, 34, 30, 30, 37, 35, 33, 32, 36, 34, 29, 37, 35, 33, 29, 35, 30, 38, 32, 29, 37, 32, 35]",34,49,2.84742746
24,28,29.88571429,1,"[31, 34, 26, 32, 29, 31, 29, 34, 30, 30, 26, 27, 35, 32, 31, 26, 31, 29, 32, 29, 26, 29, 26, 28, 35, 29, 26, 31, 31, 36, 31, 30, 31, 26, 27]",35,50,2.85710084
27,29,31.73529412,1,"[32, 29, 29, 32, 31, 33, 32, 29, 29, 35, 32, 29, 29, 32, 32, 30, 38, 30, 30, 34, 32, 37, 32, 33, 29, 36, 31, 29, 32, 32, 31, 29, 32, 37]",34,51,2.526331914
28,31,33.05714286,1,"[33, 30, 31, 31, 34, 33, 31, 35, 30, 37, 30, 30, 34, 33, 30, 34, 30, 33, 35, 32, 33, 31, 36, 33, 35, 37, 34, 39, 32, 33, 33, 35, 33, 34, 33]",35,52,2.235316232
26,30,31.97222222,1,"[31, 35, 30, 28, 34, 32, 28, 36, 28, 31, 33, 31, 28, 34, 28, 31, 32, 34, 28, 31, 35, 29, 31, 37, 29, 36, 35, 35, 35, 32, 35, 35, 30, 34, 31, 29]",36,53,2.802917981
26,29,31.25,1,"[30, 30, 33, 32, 33, 31, 31, 30, 35, 30, 32, 30, 28, 35, 31, 28, 35, 28, 29, 36, 31, 28, 28, 32, 28, 35, 28, 28, 38, 29, 28, 34, 32, 33, 31, 35]",36,54,2.781315208
26,29,31.71428571,1,"[31, 31, 36, 35, 28, 29, 30, 33, 35, 31, 29, 31, 29, 38, 31, 30, 35, 29, 29, 35, 30, 31, 30, 29, 34, 28, 29, 38, 31, 28, 34, 30, 32, 34, 37]",35,55,2.956263824
24,27,29.38888889,1,"[30, 29, 27, 31, 28, 26, 27, 31, 29, 32, 30, 28, 28, 36, 27, 36, 29, 31, 26, 29, 26, 30, 32, 30, 29, 30, 26, 35, 31, 26, 26, 26, 26, 30, 32, 33]",36,56,2.831231714
31,34,35.91176471,1,"[34, 37, 37, 36, 33, 38, 36, 33, 38, 37, 40, 36, 38, 34, 37, 37, 33, 36, 38, 40, 34, 33, 37, 34, 36, 37, 34, 36, 33, 34, 34, 37, 38, 36]",34,57,2.005562674
35,39,40,1,"[42, 38, 40, 40, 38, 39, 40, 38, 40, 40, 41, 40, 38, 40, 40, 41, 39, 40, 43, 40, 42, 37, 42, 41, 42, 41, 40, 41, 40, 39, 39, 39, 38, 42]",34,58,1.435481125
33,37,37.60606061,1,"[37, 37, 38, 39, 38, 36, 37, 38, 41, 37, 37, 35, 37, 38, 38, 37, 38, 39, 36, 36, 35, 37, 38, 39, 38, 38, 38, 38, 38, 39, 38, 38, 38]",33,59,1.197377184
36,39,40.24137931,1,"[40, 41, 40, 38, 41, 40, 42, 40, 38, 40, 38, 41, 42, 41, 38, 43, 39, 39, 39, 43, 41, 38, 44, 42, 40, 41, 40, 40, 38]",29,60,1.661650909
35,38,38.86111111,1,"[38, 40, 39, 37, 41, 37, 39, 38, 40, 38, 38, 40, 39, 39, 39, 39, 38, 38, 38, 41, 42, 38, 37, 37, 41, 40, 38, 40, 40, 39, 40, 39, 38, 39, 37, 38]",36,61,1.290687033
33,37,38.38888889,1,"[39, 40, 38, 35, 39, 38, 36, 39, 39, 39, 42, 38, 38, 40, 37, 38, 39, 43, 39, 38, 38, 42, 38, 39, 41, 35, 35, 38, 42, 36, 36, 37, 35, 41, 38, 37]",36,62,2.087757208
