anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation
0,23,27,1,"[25, 23, 23, 26, 32, 28, 20, 23, 34, 38, 23, 28, 35, 26, 30, 28, 27, 31, 25, 31, 30, 33, 35, 27, 22, 20, 24, 25, 22, 23, 20]",31,1,4.871686908
0,26,28.03225806,1,"[26, 32, 22, 30, 32, 26, 30, 26, 31, 29, 28, 26, 30, 27, 29, 28, 35, 25, 25, 31, 27, 30, 32, 25, 18, 23, 20, 35, 31, 26, 34]",31,2,4.086431785
0,29,31.875,1,"[19, 34, 35, 31, 26, 26, 28, 34, 28, 28, 32, 32, 34, 31, 41, 34, 30, 34, 33, 34, 25, 35, 35, 37, 38, 32, 28, 36, 37, 29, 34, 30]",32,3,4.441374388
0,25,29.06451613,1,"[28, 31, 29, 23, 24, 24, 33, 25, 33, 30, 36, 29, 15, 31, 30, 24, 35, 23, 39, 29, 34, 21, 34, 32, 29, 31, 11, 37, 42, 31, 28]",31,4,6.521428698
0,26,27.12903226,0,"[29, 29, 28, 25, 29, 30, 26, 27, 28, 22, 27, 29, 34, 14, 27, 27, 26, 25, 32, 32, 27, 35, 23, 27, 31, 28, 28, 27, 32, 14, 23]",31,5,4.609713914
0,28,30.46875,1,"[34, 29, 36, 31, 32, 31, 38, 20, 32, 29, 28, 31, 41, 28, 27, 34, 29, 32, 30, 29, 30, 26, 32, 24, 24, 26, 38, 33, 27, 33, 35, 26]",32,6,4.479230745
0,28,29.25,1,"[33, 36, 20, 28, 30, 31, 31, 25, 37, 30, 28, 27, 29, 34, 31, 30, 29, 24, 28, 28, 29, 21, 34, 34, 26, 29, 31, 33, 28, 25, 28, 29]",32,7,3.843721315
0,29,31.25,1,"[42, 30, 38, 28, 31, 31, 36, 29, 34, 32, 26, 29, 31, 29, 27, 26, 34, 34, 26, 31, 31, 29, 38, 35, 33, 28, 28, 33, 29, 27, 30, 35]",32,8,3.877145608
0,29,30.82758621,1,"[33, 32, 33, 30, 28, 31, 37, 33, 32, 36, 29, 33, 34, 25, 32, 29, 37, 27, 30, 34, 26, 29, 26, 28, 35, 33, 29, 22, 31]",29,9,3.645633058
0,20,24.06896552,1,"[22, 27, 20, 26, 32, 26, 18, 23, 19, 25, 32, 27, 17, 27, 24, 16, 25, 28, 24, 33, 30, 18, 25, 27, 17, 15, 21, 26, 28]",29,10,4.992358693
0,26,29.70967742,1,"[39, 14, 38, 38, 33, 26, 18, 33, 20, 38, 34, 30, 30, 35, 21, 31, 29, 25, 37, 36, 30, 11, 33, 24, 32, 27, 33, 30, 39, 26, 31]",31,11,7.221235113
0,32,35.23333333,1,"[43, 38, 34, 37, 38, 23, 40, 41, 38, 35, 36, 40, 37, 36, 33, 31, 37, 32, 40, 33, 26, 34, 32, 25, 31, 37, 29, 39, 46, 36]",30,12,5.17742669
0,26,28.2,1,"[25, 24, 32, 31, 29, 32, 20, 26, 32, 30, 26, 26, 29, 19, 26, 27, 32, 27, 41, 35, 16, 25, 30, 29, 30, 31, 25, 27, 33, 31]",30,13,4.908823864
0,25,27.83333333,1,"[26, 31, 31, 38, 20, 33, 29, 30, 28, 11, 29, 17, 31, 44, 31, 36, 18, 25, 31, 26, 27, 36, 23, 14, 32, 22, 30, 25, 28, 33]",30,14,7.100671815
0,28,30.33333333,1,"[29, 29, 35, 26, 23, 38, 29, 35, 29, 28, 26, 34, 31, 21, 31, 29, 26, 28, 33, 31, 32, 33, 32, 30, 37, 32, 30, 28, 36, 29]",30,15,3.898128051
