anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,,,,
20,26,28.96666667,1,"[29, 31, 30, 26, 36, 28, 28, 28, 28, 32, 31, 30, 25, 29, 28, 29, 32, 29, 32, 22, 26, 26, 30, 32, 26, 27, 35, 24, 25, 35]",30,1,3.316451503,,,,
25,32,33.09375,1,"[29, 31, 35, 37, 37, 32, 33, 31, 33, 39, 30, 34, 30, 36, 34, 32, 32, 37, 33, 31, 32, 28, 33, 32, 32, 34, 30, 35, 36, 34, 34, 33]",32,2,2.544562514,,,,
29,33,35.14285714,1,"[35, 34, 37, 39, 35, 37, 33, 31, 31, 33, 35, 39, 34, 38, 34, 35, 34, 32, 36, 33, 38, 39, 35, 32, 36, 35, 35, 36, 32, 37, 41, 31, 39, 33, 36]",35,3,2.591193878,,,,
28,31,32.97142857,1,"[37, 33, 36, 38, 39, 33, 33, 30, 31, 32, 31, 32, 35, 33, 30, 35, 30, 30, 32, 35, 33, 36, 34, 35, 33, 32, 33, 30, 31, 30, 32, 32, 34, 33, 31]",35,4,2.357537527,,,,
30,34,34.85294118,1,"[37, 31, 36, 34, 34, 34, 33, 40, 34, 35, 34, 36, 31, 35, 34, 36, 34, 35, 40, 35, 34, 36, 33, 33, 34, 38, 34, 34, 35, 35, 38, 35, 31, 37]",34,5,2.133887517,,,,
30,35,36.62857143,1,"[37, 38, 32, 35, 34, 39, 33, 36, 40, 36, 42, 39, 37, 38, 33, 39, 36, 36, 37, 38, 37, 36, 36, 38, 33, 37, 32, 42, 40, 36, 36, 35, 33, 35, 41]",35,6,2.646703991,,,,
31,35,36.18181818,1,"[34, 37, 34, 36, 38, 38, 35, 36, 37, 34, 36, 40, 36, 38, 36, 36, 33, 40, 36, 33, 42, 33, 35, 35, 36, 37, 34, 35, 37, 36, 35, 38, 38]",33,7,2.083484843,,,,
25,31,32.5862069,1,"[33, 31, 27, 35, 35, 33, 32, 31, 29, 39, 29, 35, 31, 32, 32, 33, 36, 35, 34, 33, 33, 34, 27, 34, 30, 33, 32, 37, 30]",29,8,2.758328186,,,,
28,32,33.58823529,1,"[34, 37, 36, 32, 36, 30, 34, 31, 35, 38, 38, 34, 31, 33, 34, 32, 33, 36, 31, 34, 30, 33, 31, 34, 37, 33, 33, 33, 31, 34, 34, 33, 34, 33]",34,9,2.133678671,,,,
23,29,30.55555556,1,"[31, 33, 31, 34, 28, 36, 33, 26, 36, 28, 32, 29, 31, 32, 30, 28, 32, 32, 26, 29, 29, 25, 31, 34, 33, 32, 30, 27, 30, 33, 34, 29, 29, 29, 29, 29]",36,10,2.698618106,,,,
33,37,38.52777778,1,"[44, 39, 38, 38, 41, 40, 37, 37, 37, 38, 38, 37, 39, 41, 38, 36, 41, 36, 39, 35, 36, 44, 35, 40, 40, 35, 39, 42, 36, 38, 41, 38, 38, 38, 37, 41]",36,11,2.311290439,,,,
27,33,34.91666667,1,"[37, 32, 39, 41, 37, 36, 37, 37, 30, 35, 34, 35, 35, 32, 32, 35, 38, 32, 32, 34, 33, 33, 37, 35, 35, 34, 36, 36, 38, 29, 29, 37, 33, 35, 41, 36]",36,12,2.882211453,,,,
28,33,34.22222222,1,"[33, 33, 35, 38, 30, 34, 35, 34, 34, 38, 37, 37, 35, 33, 33, 32, 34, 35, 33, 35, 40, 30, 33, 41, 30, 38, 36, 35, 32, 34, 33, 30, 38, 30, 31, 33]",36,13,2.829549294,,,,
33,37,37.51515152,1,"[41, 39, 38, 40, 42, 38, 37, 37, 37, 37, 37, 35, 38, 37, 37, 36, 37, 35, 36, 38, 37, 39, 37, 36, 35, 38, 37, 36, 38, 37, 39, 38, 39]",33,14,1.583532683,,,,
30,34,35.70588235,1,"[35, 32, 39, 35, 39, 34, 36, 40, 37, 36, 39, 37, 31, 37, 34, 34, 34, 38, 37, 38, 32, 34, 36, 38, 31, 42, 36, 34, 35, 34, 36, 35, 34, 35]",34,15,2.528976458,,,,
30,36,37.26666667,1,"[36, 40, 38, 34, 41, 41, 38, 41, 37, 38, 38, 35, 39, 40, 38, 36, 36, 38, 37, 32, 35, 36, 38, 39, 36, 36, 39, 34, 36, 36]",30,16,2.211776214,,,,
28,32,33,1,"[30, 33, 32, 32, 37, 31, 31, 34, 34, 38, 33, 31, 30, 36, 34, 30, 32, 34, 35, 30, 32, 33, 36, 32, 30, 35, 33, 32, 36, 33, 33, 34]",32,17,2.155263624,,,,
