RESOLUCAO,BITRATE,QP,FPS,PSNR,SSIM,LPIPS,VMAF
34560000,153140.4,23,30,37.830948,0.84170896,,
34560000,70482.2,29,30,34.69195,0.7687633,,
34560000,48405.0,32,30,33.23692,0.7237316,,
34560000,116526.4,26,30,36.75446,0.78786314,,
34560000,72227.2,30,30,34.758755,0.73719674,,
34560000,50704.8,33,30,33.091034,0.6892704,,
34560000,72189.4,29,30,35.8544,0.7535008,,
34560000,41255.6,34,30,33.33272,0.68504936,,
34560000,33090.2,36,30,32.209446,0.652938,,
34560000,54408.0,25,30,36.03066,0.8031151,,
34560000,21092.8,31,30,32.363934,0.7180488,,
34560000,13912.2,34,30,27.200453,0.603503,,
34560000,178198.8,26,30,34.702904,0.6543116,,
34560000,86051.0,31,30,32.13802,0.5324175,,
34560000,55346.4,34,30,30.70846,0.45569396,,
34560000,193971.2,28,30,30.963917,0.81688404,,
34560000,84267.0,33,30,28.132597,0.72355175,,
34560000,46001.0,37,30,26.159142,0.63292867,,
34560000,164065.8,28,30,35.233765,0.78600645,,
34560000,89967.6,33,30,32.58034,0.7034923,,
34560000,62303.8,36,30,31.043093,0.64419943,,
34560000,52304.6,29,30,33.475155,0.6664632,,
34560000,28910.6,33,30,31.139385,0.6012995,,
34560000,18083.4,36,30,29.403425,0.5448629,,
34560000,88912.8,29,30,35.480118,0.7404934,,
34560000,57408.6,33,30,33.392014,0.6785356,,
34560000,45742.8,35,30,32.39769,0.64066404,,
34560000,156306.2,20,30,38.722343,0.7947171,,
34560000,34902.2,29,30,33.740776,0.65902895,,
34560000,23001.8,32,30,32.23035,0.5946623,,
34560000,267517.0,26,30,36.73317,0.45720744,,
34560000,70152.0,32,30,33.428196,0.32926086,,
34560000,22439.4,37,30,31.471266,0.25517127,,
34560000,178485.4,32,30,27.773588,0.767029,,
34560000,84330.6,36,30,25.183718,0.67411387,,
34560000,57333.2,38,30,24.027815,0.61708283,,
34560000,231541.0,26,30,33.518238,0.8170258,,
34560000,111226.4,31,30,30.365906,0.7113312,,
34560000,60639.8,35,30,28.02845,0.6009085,,
34560000,422707.2,25,30,35.952866,0.92259085,,
34560000,148237.6,33,30,30.956396,0.8393644,,
34560000,111894.0,35,30,29.73097,0.8044813,,
34560000,406716.0,28,30,32.098053,0.73888874,,
34560000,216583.8,33,30,29.161621,0.70608133,,
34560000,132309.2,37,30,26.729559,0.66322,,
34560000,46150.6,31,30,31.204603,0.775875,,
34560000,24778.4,36,30,28.55403,0.68483704,,
34560000,20161.0,38,30,27.552996,0.6444756,,
34560000,124052.2,28,30,36.23128,0.7791504,,
34560000,67423.0,33,30,33.35044,0.7019203,,
34560000,52994.4,35,30,32.21666,0.66483825,,
34560000,278421.0,28,30,31.10616,0.86484224,,
34560000,111221.4,34,30,27.662868,0.7622119,,
34560000,70241.6,37,30,26.084358,0.6909145,,
34560000,64783.8,27,30,34.559948,0.81244713,,
